0,2001,2006,2008,2010,2011,2012,2013,2017,2019,2023,2051,2052,2061,2091,2093
2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
2013,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2051,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2052,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2091,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0
2093,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
