0,3336,3401,3402,3403,3404,3405,3406,3407,3408,3409,3410,3411,3412,3413,3414,3415,3416,3417,3418,3419,3420,3421,3422,3423,3424,3425,3426,3427,3428,3429,3430,3431,3432,3433,3434,3436
3336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3401,1,NA,1,1,1,1,2,2,2,1,2,2,0,0,2,2,1,1,1,1,0,1,1,2,1,1,1,1,0,1,0,0,1,1,1,1
3402,1,1,NA,1,1,-1,1,-1,1,-1,1,1,-1,-2,0,1,2,-1,-1,1,1,-2,-2,-2,-2,1,-2,1,1,0,0,0,0,1,1,1
3403,2,0,2,NA,2,0,2,0,1,0,2,1,0,0,0,1,1,0,-1,0,0,0,0,0,0,2,-1,0,1,1,0,-1,0,2,0,2
3404,1,0,2,2,NA,0,1,0,0,0,1,1,-1,0,1,2,1,1,0,0,0,-1,0,-1,0,1,-2,1,2,-1,2,1,1,1,-1,1
3405,2,2,0,1,1,NA,1,2,1,2,2,0,0,1,1,2,1,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,0
3406,1,1,1,1,1,0,NA,0,1,0,2,1,0,0,0,1,0,0,0,1,0,-1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
3407,0,1,-1,-1,0,1,0,NA,0,0,0,-1,0,1,1,1,1,1,1,0,0,0,-1,1,0,0,1,1,1,1,0,-1,1,-1,-2,-2
3408,1,1,2,2,1,0,1,0,NA,0,2,2,2,0,2,1,0,0,2,2,-2,0,0,1,0,2,0,1,1,0,1,2,2,2,-1,2
3409,0,1,-1,0,1,2,0,2,-2,NA,0,-1,-2,0,1,1,0,0,1,0,1,0,2,2,2,0,0,0,0,1,1,-2,-2,-2,2,0
3410,0,1,2,2,1,0,2,0,1,0,NA,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0
3411,0,2,2,2,2,0,2,1,2,1,2,NA,2,1,2,2,1,0,2,2,0,0,2,-1,0,2,-1,2,2,2,1,2,2,2,1,2
3412,1,0,0,1,1,1,1,0,2,0,2,2,NA,0,2,2,1,1,0,1,1,1,0,1,0,1,1,1,1,1,2,2,2,2,0,1
3413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3414,0,2,0,0,0,0,0,1,2,0,1,2,2,0,2,0,1,1,0,0,0,0,0,2,0,0,0,2,0,2,0,2,2,2,1,2
3415,1,0,0,0,2,1,2,0,2,2,2,1,0,0,-1,NA,1,-2,1,0,0,-1,0,0,0,2,-1,-1,2,0,2,0,0,NA,NA,2
3416,0,0,2,1,1,0,1,1,0,0,1,1,0,0,2,1,NA,0,1,0,2,2,-1,-1,0,2,2,1,0,0,1,1,1,2,-1,1
3417,0,1,1,0,1,0,1,1,1,0,1,1,2,0,1,2,1,NA,1,1,0,0,0,1,0,1,0,2,1,0,2,1,1,1,0,1
3418,0,0,0,0,0,1,0,1,1,0,0,0,NA,0,0,1,0,0,1,2,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,2
3419,1,1,0,1,0,1,1,0,1,0,-1,1,0,1,0,0,0,1,1,NA,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1
3420,-1,1,0,0,1,1,-1,0,0,0,0,1,1,0,0,1,2,1,2,1,NA,2,1,1,1,0,2,1,1,1,1,1,1,1,0,-1
3421,0,1,0,0,1,-1,0,-1,-1,0,0,1,1,-2,0,1,2,0,0,0,1,NA,0,0,0,0,2,-1,0,0,NA,0,1,1,-2,0
3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3423,0,1,0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,1,1,0,1,0,0,NA,0,0,0,2,0,2,1,1,2,0,1,0
3424,0,1,0,0,1,2,0,1,-1,2,0,0,0,1,1,1,0,0,0,0,1,0,2,2,NA,0,0,0,0,1,0,0,0,-1,2,0
3425,1,0,1,2,0,-1,2,-1,1,-1,2,1,0,-1,0,2,0,0,-2,0,-1,1,0,-1,0,NA,1,1,2,0,0,-1,1,1,0,1
3426,0,1,0,0,1,0,-1,0,-1,0,1,1,0,0,0,1,2,0,1,1,2,2,0,0,0,1,NA,-2,0,0,1,0,0,2,0,-2
3427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3428,0,0,1,1,2,0,1,0,0,0,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,2,-2,1,NA,0,2,1,1,2,0,1
3429,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,2,1,1,1,0,0,0,0,1,1,0,0,2,1,NA,1,1,2,2,0,0
