0,2003,2501,2502,2503,2504,2506,2507,2508,2509,2510,2511,2512,2513,2514,2515,2517,2518,2519,2520,2521,2522,2524,2525,2526,2527,2529,2530,2531,2552,2554,2555,2591,2592,2593,2594,2626
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2501,0,NA,-1,0,0,1,-2,2,1,0,-2,1,0,0,-2,0,-1,1,0,0,0,2,0,-2,1,-2,0,-2,-1,-1,-1,0,0,0,-1,-1
2502,0,-2,2,NA,0,0,NA,2,2,1,-2,1,0,-2,-2,-2,-1,1,-2,-2,1,0,1,-2,1,1,1,2,1,-2,-2,1,0,0,1,-2
2503,-2,0,2,2,-1,2,-2,1,0,2,0,2,-1,-1,-1,2,0,1,-2,-2,-1,1,2,-2,1,1,2,2,0,-2,-2,-2,-2,-1,0,-2
2504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2506,0,1,0,1,0,2,-1,1,0,2,-2,2,0,-2,0,0,1,2,1,0,2,2,2,2,2,1,1,1,0,0,0,0,0,1,1,0
2507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2510,1,1,1,2,-1,2,-1,1,1,NA,0,2,1,2,0,1,0,1,0,1,1,2,2,-1,1,1,1,1,1,0,-2,1,-2,2,0,-2
2511,0,0,0,0,0,NA,0,0,0,0,NA,1,0,NA,0,1,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,-1,0
2512,NA,1,2,2,0,2,-2,1,1,2,-1,2,-2,-2,-2,-1,1,1,NA,NA,1,2,2,0,0,1,2,2,1,-2,NA,NA,NA,2,1,NA
2513,-2,0,0,0,-2,NA,1,-2,-2,-2,-2,-2,NA,-1,2,0,-2,0,-2,-2,0,1,-1,2,-2,0,2,-2,-2,2,-2,0,2,NA,1,-2
2514,-2,-1,1,2,-2,2,-2,0,2,2,-2,2,-2,NA,-2,-2,-1,0,-2,-2,2,1,2,1,0,0,1,-1,-2,1,-2,-2,-2,-2,-2,0
2515,-2,0,1,1,-1,1,-2,NA,-2,-2,-1,0,2,1,2,-2,NA,-2,-2,0,1,2,2,NA,-2,-2,2,NA,-2,-2,-2,NA,-2,-2,-2,-2
2517,NA,1,1,2,-2,1,NA,2,NA,2,0,2,-1,1,-1,NA,1,1,NA,NA,-1,2,2,1,1,1,-1,2,1,NA,NA,-1,-2,-1,-2,NA
2518,0,1,2,0,-1,-2,2,2,1,2,1,1,2,1,2,NA,NA,2,0,0,1,1,2,2,2,1,2,2,-1,0,0,2,2,2,2,0
2519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,1,0,0,0,2,2,0,0,0,0,0,2,0,2,0
2520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2522,0,0,0,-1,0,0,0,0,1,-1,-2,-2,-1,-2,0,0,0,2,0,0,NA,-2,-1,-1,-2,2,2,1,2,0,0,1,2,1,0,0
2524,0,2,0,0,0,1,0,0,0,0,0,1,0,-2,-2,0,0,1,0,-1,-1,2,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0
