0,7413,7502,7504,7506,7507,7508,7509,7511,7513,7514,7516,7522,7523,7524,7526,7527,7528,7530,7533,7551,7562,7702
7413,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7502,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0
7504,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
7506,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0
7507,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
7508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7511,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
7513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7514,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
7516,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0
7522,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0
7523,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0
7524,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1
7526,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7527,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1
7528,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0
7530,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7702,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
