0,2401,2402,2403,2404,2405,2406,2407,2408,2409,2410,2411,2412,2413,2414,2415,2416,2417,2418,2419,2420,2421,2422,2424,2425,2426,2427,2428,2429,2491
2401,0,0,1,2,2,1,1,1,1,0,1,1,2,2,2,1,2,2,2,1,1,1,2,1,1,2,1,2,0
2402,0,0,2,0,0,0,0,1,2,0,1,0,1,0,0,-1,2,0,0,0,0,0,1,0,0,0,0,0,0
2403,2,2,0,2,0,0,-1,0,2,0,0,0,1,2,1,2,2,1,2,-1,-1,2,1,2,-1,-1,1,1,0
2404,2,1,2,0,1,2,1,2,2,0,2,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,0
2405,2,0,0,1,0,1,1,0,0,0,1,1,2,1,2,0,0,2,1,2,2,0,2,0,0,1,1,2,1
2406,0,0,0,0,1,0,0,0,0,0,1,1,2,0,1,0,0,0,0,2,2,0,2,0,2,0,0,0,0
2407,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0
2408,-1,1,-2,-1,0,-1,-1,0,-1,-1,1,2,1,-2,0,-1,-1,2,1,2,2,-1,1,-1,2,2,2,1,0
2409,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0
2410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2411,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2
2412,0,0,0,-1,1,1,0,1,0,0,0,0,2,1,2,0,0,1,0,1,0,0,1,0,1,2,0,1,0
2413,1,0,1,1,2,2,0,0,0,0,1,2,0,2,2,1,1,2,0,2,2,1,2,1,2,2,1,2,0
2414,0,0,1,1,1,0,0,-1,0,0,0,1,1,2,1,0,-1,0,0,1,1,0,1,0,1,0,0,0,0
2415,1,0,0,0,1,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2416,1,0,1,2,0,0,0,0,1,0,0,0,0,-1,0,0,1,1,0,0,0,1,0,1,0,-1,0,1,0
2417,1,1,2,-1,-1,-1,-1,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2418,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1
2419,1,0,2,0,0,0,0,0,0,-1,0,0,1,1,0,0,1,1,2,0,0,0,1,1,0,2,0,2,0
2420,0,0,0,0,1,2,0,0,0,0,0,0,1,2,1,1,0,0,0,0,2,0,2,0,2,2,0,2,-2
2421,0,-1,0,-1,0,2,0,-1,0,-1,0,-1,1,0,1,-1,-1,0,0,2,0,-1,1,-1,2,-1,-1,-1,0
2422,2,0,2,1,0,-1,1,-2,2,0,2,1,2,2,2,2,2,1,0,0,-1,0,1,2,1,0,2,1,2
2424,1,0,0,0,1,1,0,0,0,0,0,1,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1
2425,1,0,2,1,0,0,0,0,2,-2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,0,0,1,1,0
2426,1,0,0,0,1,2,0,0,0,0,0,1,2,1,1,1,0,0,0,2,2,0,2,0,2,0,1,0,0
2427,1,1,1,1,2,0,0,1,1,0,1,2,2,-2,2,0,0,2,2,1,1,-1,2,0,1,0,1,2,0
2428,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,2,-2,0,0,0,0,0,2,0,0,0,0,2
2429,2,0,0,1,2,0,0,1,1,0,-1,0,2,1,1,2,0,1,1,-1,0,0,2,1,0,2,-1,0,0
2491,1,0,1,1,0,0,0,1,1,0,2,0,0,0,0,1,1,1,0,0,0,2,0,1,0,0,1,1,0
